n,t,v
52508,1750.2666666666667,8460
52509,1750.3,8461
52510,1750.3333333333333,8462
52511,1750.3666666666668,8463
52512,1750.4,8464
52513,1750.4333333333332,8465
52514,1750.4666666666667,8466
52515,1750.5,8467
52516,1750.5333333333333,8469
52517,1750.5666666666668,8470
52518,1750.6,8471
52519,1750.6333333333332,8472
52520,1750.6666666666667,8473
52521,1750.7,8474
52522,1750.7333333333333,8475
52523,1750.7666666666667,8477
52524,1750.8,8478
52525,1750.8333333333333,8479
52526,1750.8666666666668,8481
52527,1750.9,8482
52528,1750.9333333333332,8483
52529,1750.9666666666667,8485
52530,1751.0,8486
52531,1751.0333333333333,8487
52532,1751.0666666666668,8489
52533,1751.1,8490
52534,1751.1333333333332,8491
52535,1751.1666666666667,8493
52536,1751.2,8494
52537,1751.2333333333333,8495
52538,1751.2666666666667,8496
52539,1751.3,8497
52540,1751.3333333333333,8499
52541,1751.3666666666668,8500
52542,1751.4,8501
52543,1751.4333333333332,8503
52544,1751.4666666666667,8504
52545,1751.5,8505
52546,1751.5333333333333,8506
52547,1751.5666666666668,8507
52548,1751.6,8508
52549,1751.6333333333332,8509
52550,1751.6666666666667,8511
52551,1751.7,8512
52552,1751.7333333333333,8513
52553,1751.7666666666667,8514
52554,1751.8,8515
52555,1751.8333333333333,8516
52556,1751.8666666666668,8517
52557,1751.9,8518
52558,1751.9333333333332,8519
52559,1751.9666666666667,8521
52560,1752.0,8523
52561,1752.0333333333333,8524
52562,1752.0666666666668,8525
52563,1752.1,8527
52564,1752.1333333333332,8528
52565,1752.1666666666667,8529
52566,1752.2,8530
52567,1752.2333333333333,8531
52568,1752.2666666666667,8533
52569,1752.3,8534
52570,1752.3333333333333,8535
52571,1752.3666666666668,8537
52572,1752.4,8538
52573,1752.4333333333332,8539
52574,1752.4666666666667,8540
52575,1752.5,8541
52576,1752.5333333333333,8542
52577,1752.5666666666668,8544
52578,1752.6,8545
52579,1752.6333333333332,8546
52580,1752.6666666666667,8547
52581,1752.7,8548
52582,1752.7333333333333,8549
52583,1752.7666666666667,8550
52584,1752.8,8551
52585,1752.8333333333333,8552
52586,1752.8666666666668,8554
52587,1752.9,8556
52588,1752.9333333333332,8557
52589,1752.9666666666667,8559
52590,1753.0,8560
52591,1753.0333333333333,8561
52592,1753.0666666666668,8562
52593,1753.1,8564
52594,1753.1333333333332,8565
52595,1753.1666666666667,8567
52596,1753.2,8568
52597,1753.2333333333333,8569
52598,1753.2666666666667,8571
52599,1753.3,8572
52600,1753.3333333333333,8573
52601,1753.3666666666668,8574
52602,1753.4,8576
52603,1753.4333333333332,8577
52604,1753.4666666666667,8578
52605,1753.5,8580
52606,1753.5333333333333,8581
52607,1753.5666666666668,8582
52608,1753.6,8583
52609,1753.6333333333332,8584
52610,1753.6666666666667,8585
52611,1753.7,8586
52612,1753.7333333333333,8587
52613,1753.7666666666667,8589
52614,1753.8,8590
52615,1753.8333333333333,8591
52616,1753.8666666666668,8592
52617,1753.9,8593
52618,1753.9333333333332,8595
52619,1753.9666666666667,8596
52620,1754.0,8597
52621,1754.0333333333333,8598
52622,1754.0666666666668,8600
52623,1754.1,8601
52624,1754.1333333333332,8603
52625,1754.1666666666667,8604
52626,1754.2,8605
52627,1754.2333333333333,8607
52628,1754.2666666666667,8608
52629,1754.3,8609
52630,1754.3333333333333,8610
52631,1754.3666666666668,8612
52632,1754.4,8614
52633,1754.4333333333332,8615
52634,1754.4666666666667,8616
52635,1754.5,8617
52636,1754.5333333333333,8619
52637,1754.5666666666668,8620
52638,1754.6,8621
52639,1754.6333333333332,8622
52640,1754.6666666666667,8624
52641,1754.7,8625
52642,1754.7333333333333,8626
52643,1754.7666666666667,8627
52644,1754.8,8628
52645,1754.8333333333333,8630
52646,1754.8666666666668,8631
52647,1754.9,8632
52648,1754.9333333333332,8633
52649,1754.9666666666667,8635
52650,1755.0,8636
52651,1755.0333333333333,8637
52652,1755.0666666666668,8639
52653,1755.1,8640
52654,1755.1333333333332,8641
52655,1755.1666666666667,8642
52656,1755.2,8644
52657,1755.2333333333333,8645
52658,1755.2666666666667,8647
52659,1755.3,8648
52660,1755.3333333333333,8649
52661,1755.3666666666668,8651
52662,1755.4,8652
52663,1755.4333333333332,8653
52664,1755.4666666666667,8654
52665,1755.5,8656
52666,1755.5333333333333,8657
52667,1755.5666666666668,8659
52668,1755.6,8660
52669,1755.6333333333332,8661
52670,1755.6666666666667,8663
52671,1755.7,8664
52672,1755.7333333333333,8665
52673,1755.7666666666667,8666
52674,1755.8,8667
52675,1755.8333333333333,8669
52676,1755.8666666666668,8670
52677,1755.9,8671
52678,1755.9333333333332,8673
52679,1755.9666666666667,8674
52680,1756.0,8675
52681,1756.0333333333333,8676
52682,1756.0666666666668,8677
52683,1756.1,8678
52684,1756.1333333333332,8679
52685,1756.1666666666667,8681
52686,1756.2,8682
52687,1756.2333333333333,8683
52688,1756.2666666666667,8684
52689,1756.3,8685
52690,1756.3333333333333,8687
