n,t,h
42511,1417.0333333333333,20
42512,1417.0666666666668,20
42513,1417.1,20
42514,1417.1333333333332,20
42515,1417.1666666666667,20
42516,1417.2,20
42517,1417.2333333333333,20
42518,1417.2666666666667,20
42519,1417.3,20
42520,1417.3333333333333,20
42521,1417.3666666666668,20
42522,1417.4,20
42523,1417.4333333333332,20
42524,1417.4666666666667,20
42525,1417.5,21
42526,1417.5333333333333,21
42527,1417.5666666666668,21
42528,1417.6,21
42529,1417.6333333333332,21
42530,1417.6666666666667,21
42531,1417.7,21
42532,1417.7333333333333,21
42533,1417.7666666666667,21
42534,1417.8,21
42535,1417.8333333333333,21
42536,1417.8666666666668,21
42537,1417.9,21
42538,1417.9333333333332,21
42539,1417.9666666666667,21
42540,1418.0,21
42541,1418.0333333333333,21
42542,1418.0666666666668,21
42543,1418.1,21
42544,1418.1333333333332,21
42545,1418.1666666666667,21
42546,1418.2,21
42547,1418.2333333333333,21
42548,1418.2666666666667,22
42549,1418.3,22
42550,1418.3333333333333,22
42551,1418.3666666666668,22
42552,1418.4,22
42553,1418.4333333333332,22
42554,1418.4666666666667,22
42555,1418.5,22
42556,1418.5333333333333,22
42557,1418.5666666666668,22
42558,1418.6,22
42559,1418.6333333333332,22
42560,1418.6666666666667,22
42561,1418.7,22
